username,text,timestamp
Ꮐᥣᥲdเꪮᥣᥙ᥉⁷⁷🍒,@agniandra7 @tubirfess Lovee opininyaa,2021-11-25 06:37:46+00:00
ᦓꪊᛕꪖ ᦓꪊᛕꪖ,"RT @Jndrvl: Vaksin Dalam Negeri.

Anggota Komisi IX DPR RI, Saleh Partaonan Daulay mendesak pemerintah sgra menggunakan vaksin produksi dlm…",2021-11-25 06:37:45+00:00
zes,udah vaksin lengkap 2x aja masih bisa ketularan,2021-11-25 06:37:15+00:00
zes,((hampir 100% sudah vaksin)) https://t.co/i1y5KGxea6,2021-11-25 06:37:15+00:00
ZOO,"Zoo Ada yang tau cat hotel di bandung yang gak harus vaksin dulu? Kalau bisa yang sewanya per room buat beberapa kucing, soalnya kucingnya ada 5
Tolong di noticeee, urgent :((",2021-11-25 06:36:53+00:00
ᦓꪊᛕꪖ ᦓꪊᛕꪖ,"RT @Lampung__01: Ketiga, masyarakat nampak lebih antusias memakai vaksin produk dlm negeri.
Keempat, Pemerintah selama ini selalu mendukung…",2021-11-25 06:36:42+00:00
ᦓꪊᛕꪖ ᦓꪊᛕꪖ,"RT @Lampung__01: Beberapa alasan mengapa penggunaan vaksin lokal ini mendesak.
Pertama, Indonesia harus benar-benar berdaulat dlm hal pemen…",2021-11-25 06:36:38+00:00
Rizal Caniago,"RT @Fatoni0Rachman: Sedikit cerita. Bapak, ibu, uwa, adik saya sakit demam dengan flu. Mereka semua anosmia (indikasi covid banget tuh). Di…",2021-11-25 06:36:36+00:00
ᦓꪊᛕꪖ ᦓꪊᛕꪖ,"RT @Lampung__01: Anggota Komisi IX DPR RI, Saleh Partaonan Daulay mendesak pemerintah segera menggunakan vaksin produksi dalam negeri. Kare…",2021-11-25 06:36:34+00:00
📌 Orek Tempe 📌,"RT @Penyuka_ombak: Penting utk segera digunakan Vaksin produksi dalam Negeri utk mempercepat vaksinasi bagi masyarakat.
Produk lokal vaksin…",2021-11-25 06:36:32+00:00
mhddanyy_™,RT @DGHisham: Ringkasan Pemberian dos penggalak vaksin COVID-19 secara homologus dan heterologous syor terkini daripada Jawatankuasa Kerja…,2021-11-25 06:36:25+00:00
Base Para Babu ♥️,"pets! Ada yang tau cat hotel di bandung yang gak harus vaksin dulu? Kalau bisa yang sewanya per room buat beberapa kucing, soalnya kucingnya ada 5
Tolong di noticeee, urgent :(( https://t.co/P6IEFNBTdJ",2021-11-25 06:36:22+00:00
KODIM 0710,Danramil 20/Pekalongan Selatan Kapten Inf. Agus Miharja menghadiri undangan Rapat Gebyar Vaksin Serentak diwilayah Kota  Pekalongan. kamis (25/11) https://t.co/hHMhsdkK2K,2021-11-25 06:36:17+00:00
ftimeh,"@ibighitfess Apagi akuu baru jg on, abis vaksin telerr😭",2021-11-25 06:36:09+00:00
Int3lejenS3ny4p,@Penyuka_ombak Vaksin buatan dlm negeri hrs mulai di gunakan.,2021-11-25 06:36:06+00:00
KODIM 0710,Danramil 20/Pekalongan Selatan Kapten Inf. Agus Miharja menghadiri undangan Rapat Gebyar Vaksin Serentak diwilayah Kota  Pekalongan. kamis (25/11) https://t.co/rF73dMCNJL,2021-11-25 06:36:04+00:00
alaia,RT @JKJAVMY: Dos penggalak vaksin COVID-19 kini akan ditawarkan kepada semua dewasa 18 tahun ke atas. Golongan berisiko tinggi akan diutama…,2021-11-25 06:36:03+00:00
ΛDiTYΛSON,"RT @_Banyoe: #EvaluasiMendalamVaksinC19
Kami akhirnya memiliki bukti medis bahwa pemberian Vaksin Covid-19 adalah Pembunuhan.

Dr Vernom Co…",2021-11-25 06:35:53+00:00
TEMPO.CO,"Ekuador pada Rabu, 24 November 2021 mengumumkan akan mendistribusikan vaksin virus corona dosis ketiga atau vaksin penguat kepada sebagian besar populasi negara itu. #TempoDunia https://t.co/lZsM08YgPc",2021-11-25 06:35:52+00:00
alaia,"RT @protecthealthco: Jika anda layak menerima dos penggalak, ini adalah langkah yang anda perlu patuhi untuk mendaftar sebagai senarai menu…",2021-11-25 06:35:52+00:00
Mary,"RT @TedHilbert: Dibongkar di Slovenia, didukung oleh data dari AS.
Ada botol vaksin yang mematikan dan yang tidak berbahaya.
Tujuan apa? Ek…",2021-11-25 06:35:45+00:00
Abdi Proklamasi,"RT @proboputro65: di Slovenia TERBONGKAR SKANDAL VAKSIN.

Mungkinkah +62 ADA SKANDAL SAMA dan ADA YANG BERANI BONGKAR bung @TedHilbert dan…",2021-11-25 06:35:44+00:00
Mas Yan,"@traveloka Gang Sersan (Seru Santai)
Tempat kalian melepas penat, banyak spa atau salon yang siap manjain kalian
 pokok nya pilihan nya banyak.
Gang Anak sehat
Tempat dimana saat dibutuhin saat kita sakit, ada dokter yg siap ditanya soal keluhan kesehatan, bisa jg daftar vaksin loh",2021-11-25 06:35:44+00:00
Luthfi Zenius,Pfizer Klaim Karyawannya Mencuri Data Rahasia Vaksin Covid-19 https://t.co/G3lUj8wvq2 https://t.co/R6myncD2eC,2021-11-25 06:35:41+00:00
Int3lejenS3ny4p,"RT @Penyuka_ombak: Penting utk segera digunakan Vaksin produksi dalam Negeri utk mempercepat vaksinasi bagi masyarakat.
Produk lokal vaksin…",2021-11-25 06:35:38+00:00
Nizam 🇲🇾,RT @JKJAVMY: Dos penggalak vaksin COVID-19 kini akan ditawarkan kepada semua dewasa 18 tahun ke atas. Golongan berisiko tinggi akan diutama…,2021-11-25 06:35:31+00:00
ᦓꪊᛕꪖ ᦓꪊᛕꪖ,RT @NayDwiyana: 2. Indonesia harus benar2 berdaulat dlm pemenuhan vaksin covid-19. Caranya ya dgn menggunakan vaksin produksi lokal. Anggar…,2021-11-25 06:35:21+00:00
ᦓꪊᛕꪖ ᦓꪊᛕꪖ,RT @NayDwiyana: 1. Stok vaksin produksi dalam negeri yg telah mendapatkan ijin EUA dari BPOM harus segera dipergunakan untuk membantu perce…,2021-11-25 06:35:16+00:00
nutrisari blewah,"playlist di tempat vaksin asik-asik juga, jd betah",2021-11-25 06:35:16+00:00
Buletin FM🇲🇾,RT @JKJAVMY: Dos penggalak vaksin COVID-19 kini akan ditawarkan kepada semua dewasa 18 tahun ke atas. Golongan berisiko tinggi akan diutama…,2021-11-25 06:35:03+00:00
The Indonesia Post,"Presiden Rusia, Vladimir Putin melakukan tes eksperimen vaksin semprot dari hidung yang dibuat oleh Rusia. Vladimir Putin mengatakan bahwa ia tidak merasakan apapun setelah mendapatkan vaksin intrasal ini.",2021-11-25 06:34:55+00:00
Emak2 pecinta pete,"RT @Fatoni0Rachman: Sedikit cerita. Bapak, ibu, uwa, adik saya sakit demam dengan flu. Mereka semua anosmia (indikasi covid banget tuh). Di…",2021-11-25 06:34:55+00:00
norizah,"RT @JaPenWPKL: Jika anda layak menerima dos penggalak, ini adalah langkah yang anda perlu patuhi untuk mendaftar sebagai senarai menunggu d…",2021-11-25 06:34:49+00:00
Rudy Aconk,@Bang_Garr Uda di pinned bang kek di vaksin pokoknya,2021-11-25 06:34:45+00:00
Mariatungkat🇲🇾🇲🇾🇲🇾,"RT @UKASSarawak: HEBAHAN AWAM PEMBERIAN DOS PENGGALAK VAKSIN COVID-19

26 Hingga 30 November 2021
8:00 Pagi Hingga 4:00 Petang 
Stadium Ter…",2021-11-25 06:34:43+00:00
Ted - investigasi.org,"RT @BangMugeni66: ANAK YANG SEHAT TIDAK
BUTUH VAKSIN KARENA..
ANTI BODI MEREKA LEBIH
KUAT DARI VAKSIN....
.
BERIKAN SAJA PER HATIAN
YANG LE…",2021-11-25 06:34:43+00:00
Alfriza Ayuningtyas,"@firdaaul so xad di Bone ga ada yg antidemam, ga ada vaksin rotavirus blabla pokoke cuman ada yg diwajibkan pemerintah 🥲",2021-11-25 06:34:43+00:00
Leeyona,"RT @Penyuka_ombak: Penting utk segera digunakan Vaksin produksi dalam Negeri utk mempercepat vaksinasi bagi masyarakat.
Produk lokal vaksin…",2021-11-25 06:34:41+00:00
Inay►,"RT @LsOwien: Ahli virus komputer sarankan Vaksin???

Otak dungu percaya! https://t.co/1TsljZ3Dog",2021-11-25 06:34:38+00:00
Emak2 pecinta pete,RT @MicMedsos: Terimakasih buat bang @ekowboy2 yang sudah membuka diskusi space dg tema VAKSIN dan terimakasih kepada para pembicara yg san…,2021-11-25 06:34:37+00:00
اوني,"RT @Fahmibinhassan: Anda ada terima video ini di whatsapp?

Maklumat yang disampaikan adalah tidak tepat. 

Kajian menunjukkan mengambil do…",2021-11-25 06:34:36+00:00
Mariatungkat🇲🇾🇲🇾🇲🇾,"RT @UKASSarawak: PENERIMA VAKSIN ASTRAZENECA

Semua penerima vaksin AstraZeneca yang masih belum menerima vaksin Dose 2 (termasuk mereka ya…",2021-11-25 06:34:34+00:00
Life is too short,@Lampung__01 vaksin yg baik adlh yg tersedia,2021-11-25 06:34:29+00:00
winner :,"Aduh kejadwal vaksin ketiga, abis alergi gini",2021-11-25 06:34:23+00:00
