,timestamp,tweet,sentiment
0,2022-05-15 06:12:25+00:00,i-i haven t had the booster vaccine yet,Negative
1,2022-05-19 09:35:16+00:00,aa already has the booster vaccine you can t scan the barcode if you don t have an apk care for protection you can just download it and check the temperature of the bntr,Negative
2,2022-05-19 10:00:50+00:00,amen allahumma amen for the prayers for the family honestly think about the condition of the family the booster vaccine my friend at work,Positive
3,2022-03-03 06:31:44+00:00,amen tomorrow is a booster vaccine even though,Negative
4,2022-03-03 09:22:40+00:00,amen go home take a break immediately sis when the booster vaccine is weak go home take a break wake up thank god it s fresh again but again people s immunity is different,Negative
5,2022-03-03 04:01:59+00:00,abar vaccine booster dose present mnc care vaccination center free register record date thursday friday march wib goat land jl field football rt kebon jeruk west jakarta mnc studios url,Positive
6,2021-11-21 17:04:59+00:00,abdull latif try to show scientific fact data is safe covid vaccine validity pcr test accurate results covid is dangerous from tb,Positive
7,2022-03-07 09:10:12+00:00,abias booster vaccine effect of sleepy fever,Negative
8,2022-05-21 13:17:47+00:00,after the booster the former injection hurts does the vaccine hurt,Negative
9,2022-03-09 14:13:24+00:00,after the vaccine booster just on the day of work at night feel the effect,Negative
10,2022-03-07 10:25:33+00:00,after the vaccine booster my lips are tingling with ants since the afternoon it s really weird,Negative
11,2021-11-24 12:56:09+00:00,after the az vaccine until now there have been no side effects and i think the big needle seems to be because it s really frustrating when it s punctured,Negative
12,2021-11-25 06:33:12+00:00,finished the body vaccine on the left astagfirullah gel,Negative
13,2022-05-14 14:49:07+00:00,after the booster vaccine,Negative
14,2022-03-10 12:20:42+00:00,after the booster vaccine just salfok the biohazard safety box which automatically remembers the yellow safety box that provides clinics that don t use the end i don t choose to use environmentalist plastic jerry cans the url is different,Negative
15,2022-05-14 14:44:24+00:00,after the booster vaccine thank god i didn t use the vaccine fever weakness in the morning i woke up because my body was shivering it was warm then i woke up at an hour the condition was really cool i went straight to the mall,Positive
16,2022-03-03 12:44:06+00:00,after the booster vaccine thank god it s not like what people say,Negative
