,Unnamed: 0,timestamp,Tweet,translated_tweet
0,11190,2022-05-15 06:12:25+00:00,a-aku belum vaksin booster,I-I haven't had the booster vaccine yet
1,13777,2022-05-19 09:35:16+00:00,aa sudah vaksin booster belum boleh scan barcode klo belum pny apk pedulilindungi boleh donglot aj a cek suhu bntr y a,"aa already has the booster vaccine, you can't scan the barcode, if you don't have an apk, care for protection, you can just download it and check the temperature of the bntr"
2,13749,2022-05-19 10:00:50+00:00,aamiin allahumma aamiin doa yang untuk klrga yaa jujur pikir kondisi klrga vaksin booster teman kantor,"Amen, allahumma, amen, for the prayers for the family, honestly, think about the condition of the family, the booster vaccine, my friend at work"
3,4648,2022-03-03 06:31:44+00:00,aamiin besok vaksin booster padahal,"Amen, tomorrow is a booster vaccine even though"
4,4518,2022-03-03 09:22:40+00:00,aamiin pulang vaksin langsung istirahat kak alam vaksin booster lemes dikit terus pulang bawa istirahat bangun alhamdulillah sudah segar lg tapi lg ya imun org beda,"Amen, go home, take a break immediately, Sis, when the booster vaccine is weak, go home, take a break, wake up, thank God, it's fresh again, but again, people's immunity is different"
5,4756,2022-03-03 04:01:59+00:00,abar vaksin dosis booster hadir sentra vaksinasi mnc peduli daftar gratis catat tanggal kamis jumat maret wib tanah kambing jl lapang bola rt kebon jeruk jakarta barat mnc studios url,abar vaccine booster dose present mnc care vaccination center free register record date thursday friday march wib goat land jl field football rt kebon Jeruk west jakarta mnc studios url
6,17307,2021-11-21 17:04:59+00:00,abdull latif coba tunjuk data fakta ilmiah aman vaksin covid validitas test pcr hasil teliti covid bahaya dr tbc,abdull latif try to show scientific fact data is safe covid vaccine validity pcr test accurate results covid is dangerous from TB
7,7160,2022-03-07 09:10:12+00:00,abias vaksin booster efek demam ngantuk,abias booster vaccine effect of sleepy fever
8,16285,2022-05-21 13:17:47+00:00,abis booster bekas sunti ngilu vaksin ga si,"After the booster, the former injection hurts, does the vaccine hurt?"
9,9099,2022-03-09 14:13:24+00:00,abis booster vaksin hari aja pas kerja pas malem rasa efek,"After the vaccine booster, just on the day of work, at night, feel the effect"
10,7097,2022-03-07 10:25:33+00:00,abis booster vaksin meriang bibir gue semut dar siang aneh banget,"After the vaccine booster, my lips are tingling with ants since the afternoon, it's really weird"
11,7402,2021-11-24 12:56:09+00:00,abis vaksin az sampe sekarang gaada efek samping and i think jarum yang gede kyknya karena asa banget pas tusuk,"After the az vaccine, until now there have been no side effects and I think the big needle seems to be because it's really frustrating when it's punctured"
12,55,2021-11-25 06:33:12+00:00,abis vaksin badan belah kiri gel astagfirullah,"finished the body vaccine on the left, astagfirullah gel"
13,10269,2022-05-14 14:49:07+00:00,abis vaksin booster,after the booster vaccine
14,7984,2022-03-10 12:20:42+00:00,abis vaksin booster aja salfok safety biohazard box yang auto inget safety box kuning yang provide klinik yang ujung ga kepake si gblk pilih pake jerigen plastik environmentalist emang beda url,"After the booster vaccine, just salfok the biohazard safety box, which automatically remembers the yellow safety box that provides clinics that don't use the end, I don't choose to use environmentalist plastic jerry cans, the url is different."
15,10272,2022-05-14 14:44:24+00:00,abis vaksin booster alhamdulilah tidak pake lemas demam vaksin jam pagi sempet bangun karna gigil badan hangat trus tidur bangun jam an kondisi mending banget langsung nge-mall,"After the booster vaccine, thank God, I didn't use the vaccine fever weakness in the morning, I woke up because my body was shivering, it was warm, then I woke up at an hour, the condition was really cool, I went straight to the mall"
16,4381,2022-03-03 12:44:06+00:00,abis vaksin booster alhamdulillah inj tidak kayak yang orang bilang,"After the booster vaccine, thank God it's not like what people say"
17,7019,2022-03-07 11:56:36+00:00,abis vaksin booster asa efek,"After the booster vaccine, hope for the effect"
18,6825,2022-03-07 16:18:20+00:00,abis vaksin booster asa efek maghrib makji,"After the booster vaccine, I hope the Maghrib effect will go away"
19,16269,2022-05-21 15:14:59+00:00,abis vaksin booster badan ga karuan panas,"After the booster vaccine, the body is not hot"
20,4708,2022-03-03 05:04:48+00:00,abis vaksin booster badan gw ngilu anjroddd kena angin ngilu tulang gw,"After the booster vaccine, my body aches, my Android is hit by the wind, my bones hurt"
21,8127,2022-03-10 10:56:17+00:00,abis vaksin booster badan meninggoy total,"After the booster vaccine, the body is totally meningo"
22,6931,2022-03-07 13:37:27+00:00,abis vaksin booster badan meriang bangettt,"After the booster vaccine, the body feels really hot"
23,11130,2022-05-15 09:40:56+00:00,abis vaksin booster bawaanne ken tidur mulu,"After the innate booster vaccine, I go to sleep"
24,15778,2022-05-20 03:18:14+00:00,abis vaksin booster besok hari istora nonton moga ga ya gue,"After the booster vaccine, tomorrow istora, I hope you watch it or not"
25,7572,2022-03-10 17:23:40+00:00,abis vaksin booster ci,after the ci booster vaccine
26,7859,2022-03-10 13:36:37+00:00,abis vaksin booster cm demam gigil aja nder tapi dipake tidur jam auto aja btw yang dititipin menfess,"After the booster vaccine, the fever just got chills, but I used it to sleep on the auto clock btw the menfess was entrusted"
27,7872,2022-03-10 13:25:04+00:00,abis vaksin booster drop nya parah banget,"After the booster vaccine, the drop is really bad"
28,10686,2022-05-14 04:16:08+00:00,abis vaksin booster efek ampe pingsan pas puskesmas,"After the booster vaccine, I fainted at the health center"
29,7507,2022-03-10 21:33:24+00:00,abis vaksin booster emang gampang ngantuk,"After the booster vaccine, it's easy to fall asleep"
30,7056,2022-03-07 11:15:59+00:00,abis vaksin booster emg awet banget sakit ya,"After the booster vaccine, it really lasts, doesn't it?"
31,16317,2022-05-21 10:46:51+00:00,abis vaksin booster enak banget hibernasi,"After the booster vaccine, hibernation is really good"
32,10246,2022-05-14 15:30:53+00:00,abis vaksin booster ga efek samping super senang,"After the booster vaccine, there are no side effects, super happy"
33,4275,2022-03-03 14:44:55+00:00,abis vaksin booster ga sakit trnyta tapi gel huhu,"After the booster vaccine, it doesn't hurt, it's gel huhu"
34,7023,2022-03-07 11:49:44+00:00,abis vaksin booster guys lambat yaaa up langsung gitu pake bumbu ada yang sudah vaksin pake astra ya demam laper,"After the booster vaccine, guys, it's slow, it's up right away, using spices, some have been vaccinated with Astra, have a hungry fever"
35,13824,2022-05-19 07:49:29+00:00,abis vaksin booster jadi demam,"After the booster vaccine, I have a fever"
36,16070,2022-05-19 13:53:02+00:00,abis vaksin booster kaya abis tonjok,"After the booster vaccine, it's like being punched"
37,6923,2022-03-07 13:48:31+00:00,abis vaksin booster kek mo copot badan,"After the booster vaccine, you're going to take off your body"
38,11578,2022-05-16 01:18:04+00:00,abis vaksin booster knpa jadii cpet laper yh w bru aja makan tapii rasa kosong gtu perut jadii lper trus,"After the booster vaccine, why do you feel hungry so fast, I just ate but I feel empty when my stomach becomes hungry and then"
39,10820,2022-05-14 01:58:44+00:00,abis vaksin booster langsung ngantuk pusing efek gin emg gue yang ngantuk daritadi,"After the booster vaccine, I immediately fell asleep, dizzy, the effect of gin, I'm the one who was sleepy earlier"
40,16261,2022-05-21 16:07:53+00:00,abis vaksin booster lemes pusing n demam,"After the booster vaccine, I feel dizzy and have a fever"
